duration,protocol_type, Timestamp,source ip,source_host,destination ip,destination_host,flow bytes/s,flow byte mb,class,severity,flow packets,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,data
0,tcp,12/1/2018 10:55,1.10.252.196,Hacker 17,172.31.65.89,Printer 17,5006827.492,5.01 MB,neptune,High,11379.15339,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,8,0,0,1,1,0.03,0.06,0,255,8,0.03,0.07,0,0,0,0,1,1,21
898,tcp,12/1/2018 11:02,1.10.252.196,Hacker 17,172.31.65.89,Printer 17,2674.703056,2.67 KB,apache2,,27.63122992,http,RSTR,63804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,31,0,0,1,1,1,0,0,255,255,1,0,0,0,0,0,0.48,0.48,15
0,udp,12/1/2018 10:55,1.165.16.250,Hacker 18,172.31.67.67,Smart Phone 120,82274.24749,82.27 KB,snmpgetattack,Low,2675.585284,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.67,0.67,0,255,254,1,0.01,0,0,0,0,0,0,0
0,tcp,12/1/2018 11:02,1.165.16.250,Hacker 18,172.31.67.67,Smart Phone 120,284211.726,284.21 KB,normal,,651.2642668,http,SF,218,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,17,0,0,0,0,1,0,0.12,255,255,1,0,0,0,0,0,0,0,21
0,udp,12/1/2018 10:52,1.170.218.162,Hacker 18,172.31.65.8,Printer 14,1349382.811,1.35 MB,normal,Critical,3066.779115,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,0,0,0,0,0.04,0.83,0,255,3,0.01,0.73,1,0,0,0,0,0,7
0,tcp,12/1/2018 10:59,1.170.218.162,Hacker 18,172.31.65.8,Printer 14,2627179.365,2.63 MB,normal,High,5970.862193,http,SF,330,902,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,36,0,0,0,0,1,0,0.08,135,247,1,0,0.01,0.05,0,0,0,0,21
0,tcp,12/1/2018 10:53,1.55.176.28,Hacker 19,172.31.69.11,Smart Phone 144,981333333.3,981.33 MB,normal,Critical,666666.6667,ftp_data,SF,40494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,88,38,0.22,0.05,0.22,0.05,0,0,0,0,21
4,tcp,12/1/2018 10:59,1.55.176.28,Hacker 19,172.31.69.11,Smart Phone 144,2588681.931,2.59 MB,guess_passwd,Medium,5931.901768,pop_3,SF,26,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,239,0.94,0.01,0,0,0,0,0.04,0,16
0,tcp,12/1/2018 10:53,101.96.116.77,Hacker 1,172.31.64.79,Fax 1,1472000000,1472.00 MB,guess_passwd,Critical,1000000,telnet,SF,124,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,134,0.53,0.02,0,0,0,0,0.02,0.03,15
0,tcp,12/1/2018 10:53,101.96.116.77,Hacker 1,172.31.65.90,Fax 1,2946198.4,2.95 MB,warezmaster,Medium,6695.905454,ftp_data,SF,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,29,1,0,1,0.14,0,0,0,0,12
0,tcp,12/1/2018 10:55,101.96.116.77,Hacker 1,172.31.68.20,Phone 4,3677699.766,3.68 MB,neptune,Low,8358.408559,uucp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,7,1,1,0,0,0.06,0.07,0,255,7,0.03,0.06,0,0,1,1,0,0,19
10,tcp,12/1/2018 10:55,101.96.116.77,Hacker 1,172.31.65.69,Phone 4,410040.3983,410.04 KB,guess_passwd,Critical,931.9099961,pop_3,SF,27,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,214,0.84,0.02,0,0,0,0,0.04,0,16
0,tcp,12/1/2018 10:57,101.96.116.77,Hacker 1,172.31.64.69,Printer 8,484420.4509,484.42 KB,normal,Critical,1105.112734,http,SF,299,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0.5,154,255,1,0,0.01,0.01,0,0,0,0,21
0,tcp,12/1/2018 10:57,101.96.116.77,Hacker 1,172.31.66.28,Printer 8,2111324.376,2.11 MB,normal,Critical,4798.464491,http,SF,311,1159,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,235,255,1,0,0,0.01,0,0,0,0,21
282,tcp,12/1/2018 10:59,101.96.116.77,Hacker 1,172.31.64.79,Printer 19,1185217.11,1.19 MB,warezmaster,,2693.675251,ftp,SF,164,601,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,255,45,0.18,0.03,0,0,0.21,0,0.02,0,12
7340,tcp,12/1/2018 10:59,101.96.116.77,Hacker 1,172.31.65.90,Printer 19,736000000,736.00 MB,processtable,,500000,telnet,SF,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,234,0.92,0.02,0,0,0.33,0.36,0.09,0.05,18
0,udp,12/1/2018 11:01,101.96.116.77,Hacker 1,172.31.68.20,Smart Phone 23,981333333.3,981.33 MB,normal,,666666.6667,private,SF,54,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,506,0,0,0,0,1,0,0,255,254,1,0.01,0.76,0,0,0,0,0,17
0,tcp,12/1/2018 11:01,101.96.116.77,Hacker 1,172.31.65.69,Smart Phone 23,1962080.204,1.96 MB,neptune,,4477.823438,telnet,RSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,1,1,0.17,0.17,0,255,56,0.22,0.11,0.01,0,0,0,0.99,1,17
0,tcp,12/1/2018 11:06,101.96.116.77,Hacker 1,172.31.64.69,Smart Phone 135,1472000000,1472.00 MB,guess_passwd,,1000000,telnet,SF,121,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,254,1,0.01,0,0,0.01,0.01,0.02,0.02,16
0,icmp,12/1/2018 11:06,101.96.116.77,Hacker 1,172.31.66.28,Smart Phone 135,2544000000,2544.00 MB,normal,,2000000,eco_i,SF,40008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,121,145,0.09,0.04,0.09,0.47,0,0,0.02,0,20
0,tcp,12/1/2018 10:56,101.99.59.70,Hacker 20,172.31.64.19,eMail Server ,243458.8314,243.46 KB,normal,Medium,555.4048231,http,SF,263,462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,18,255,1,0,0.06,0.02,0,0,0,0,21
3,tcp,12/1/2018 11:06,101.99.59.70,Hacker 20,172.31.64.19,eMail Server ,2553463.134,2.55 MB,guess_passwd,,5803.325305,pop_3,SF,30,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,252,0.99,0.01,0,0,0,0,0,0,17
0,tcp,12/1/2018 10:52,103.46.12.151,Hacker 2,172.31.64.119,ASUS Access Point 1,1112572.064,1.11 MB,satan,High,2528.572873,other,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,1,0.12,0,0.88,1,0,1,0,255,1,0,0.99,0,0,0.18,0,0.81,1,19
0,tcp,12/1/2018 10:53,103.46.12.151,Hacker 2,172.31.66.122,ASUS Access Point 1,2057901.875,2.06 MB,normal,Critical,4677.049717,http,SF,323,660,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,1,0,0.2,94,255,1,0,0.01,0.06,0,0,0,0,21
0,tcp,12/1/2018 10:56,103.46.12.151,Hacker 2,172.31.65.90,Printer 19,2372.840107,2.37 KB,mscan,Medium,60.84205403,pop_3,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,222,85,0.33,0.01,0,0.02,1,1,0,0,18
1,tcp,12/1/2018 10:57,103.46.12.151,Hacker 2,172.31.67.125,Printer 19,288000000,288.00 MB,mailbomb,High,666666.6667,smtp,SF,2599,293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,48,0.19,0.16,0,0,0,0,0.79,0,13
3,tcp,12/1/2018 10:59,103.46.12.151,Hacker 2,172.31.64.119,Smart Phone 14,8326.072224,8.33 KB,guess_passwd,Low,193.6295866,pop_3,SF,28,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,250,0.98,0.01,0,0,0,0,0,0,17
0,tcp,12/1/2018 10:59,103.46.12.151,Hacker 2,172.31.66.122,Smart Phone 14,2837358.994,2.84 MB,normal,,6501.739215,http,SF,201,1856,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21
0,udp,12/1/2018 11:04,103.46.12.151,Hacker 2,172.31.65.90,Smart Phone 93,170841.9334,170.84 KB,snmpgetattack,,391.220473,private,SF,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,3
